epoch,train loss,train acc,test loss,test acc
0,0.29985992533743433,87.29166412353516,0.15131089483119964,95.0
1,0.1474617181456089,95.83333587646484,1.379084518567362,75.83333587646484
2,0.15408678630293968,95.20833587646484,0.4292768102418612,91.25
3,0.10917174975089784,97.29166412353516,0.41320213871708816,87.5
4,0.05555912436241451,98.54166412353516,0.14834875114365922,95.0
5,0.06931515923721053,97.91666412353516,0.25164208142270195,90.83333587646484
6,0.028039458743562,99.375,0.24930816216263732,88.75
7,0.02430661217074912,99.16666412353516,0.12508832316431814,95.0
8,0.02516038057025343,99.375,0.04495548616951657,97.91666412353516
9,0.016806757565801824,99.16666412353516,0.018119511849856152,99.16666412353516
10,0.02508936839392823,99.58333587646484,0.09029184451548522,98.33333587646484
11,0.02778494679410082,99.375,0.046129456036683926,98.33333587646484
12,0.013746152127518691,99.58333587646484,0.08191582326260989,97.08333587646484
13,0.015504402693769848,99.375,0.09102330590106589,98.75
14,0.020221667014457233,99.58333587646484,0.04078178184514163,97.91666412353516
15,0.016149276026001684,99.79166412353516,0.07718428005017407,97.5
16,0.003183903802712039,100.0,0.07029263743796191,97.5
17,0.0028523092429336696,100.0,0.063150073858655,97.91666412353516
18,0.013376239032117347,99.58333587646484,0.1549010168781715,97.08333587646484
19,0.023707693190660944,99.375,0.2018216437061878,93.33333587646484
20,0.016308314112788807,99.58333587646484,0.04192051712448732,97.91666412353516
21,0.013309650250623417,99.375,0.09662990177322747,94.58333587646484
22,0.02483486210170281,99.375,0.1158997531522369,97.91666412353516
23,0.025035654518870593,99.16666412353516,0.049777980887293634,98.33333587646484
24,0.03478031613741282,98.75,0.029991801679363835,99.16666412353516
0,0.3108265708819755,85.0,0.223670245650581,93.33333587646484
1,0.19775463561417098,94.375,0.5657262291509527,90.41666412353516
2,0.13813642530342127,95.20833587646484,0.2509787627314015,88.75
3,0.09291558458064286,97.29166412353516,0.40139265242630806,90.41666412353516
4,0.11045808267238601,97.29166412353516,0.26472465679962887,92.08333587646484
5,0.0502635420004958,98.54166412353516,0.12465357452720631,95.41666412353516
6,0.08791297024434988,97.5,0.15231591012483386,93.75
7,0.035293457427521005,98.95833587646484,0.14626105754364965,93.33333587646484
8,0.032241370003557056,98.75,0.09640893549002374,96.66666412353516
9,0.025716897670339228,99.16666412353516,0.32068863988421026,91.25
10,0.03394180280994138,98.54166412353516,0.6622552823310306,81.66666412353516
11,0.03130652423675526,98.95833587646484,0.04300182206885439,98.75
12,0.009749914656129354,99.58333587646484,0.009849550872847957,100.0
13,0.007092153124220319,99.79166412353516,0.1063158776527728,97.5
14,0.020657765829742818,99.58333587646484,0.02148884913998972,98.75
15,0.014526366773238587,99.58333587646484,0.06765015455888408,97.91666412353516
16,0.010062026488992385,99.79166412353516,0.04204175019006171,98.75
17,0.004683774610226112,99.79166412353516,0.021119936160891317,99.58333587646484
18,0.004154472726217799,100.0,0.054272195295801615,98.33333587646484
19,0.002302659131057534,100.0,0.09319543628429379,98.33333587646484
20,0.013613813004832316,99.58333587646484,0.05388669127419897,98.75
21,0.010528414552440617,99.79166412353516,0.057544861218668975,97.91666412353516
22,0.012815325390063647,100.0,0.030303424246549478,99.16666412353516
23,0.011745590777687095,99.58333587646484,0.046719525095067924,99.16666412353516
24,0.015527185545256303,99.58333587646484,0.1236186284022286,96.25
